Modelo,MAE,RMSE,R2
Baseline mínimo - Dummy,1.22383060342888,3.394774993352606,-0.02958815186940611
Baseline simples - Taxa média x Impressões,1.0801387090907342,2.525449901315376,0.43020443759440985
Regressão Linear,0.9236095574215856,1.8978748839963082,0.678206917179005
Random Forest,0.9953545724161363,2.1979210783272074,0.56841560296877
