grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,5,40,0.25915490217447734,1.2112772145441193,295.82198113702236,
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,6,30,0.22541340487269082,1.3820060138847978,245.65787918968138,
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,7,35,0.18910473776377598,1.4113116561245769,228.6013111791757,
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,8,31,0.17514276356092648,1.5716948362058214,254.58319701113447,
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,9,31,0.11389127289804216,1.9991954872715014,173.7258516762906,
B,Capacidade de pagamento,4,1,mistura_gaussiana,Mistura Gaussiana,10,35,0.1582998888353581,1.3977136955206075,242.94346830287768,
C,Mercado + renda,6,2,kmeans,KMeans,2,291,0.33405825887705687,1.1854583002036114,427.32496103726834,2538.4398434850887
C,Mercado + renda,6,2,kmeans,KMeans,3,114,0.2932431897448031,1.2582715165932121,311.3934319188077,2157.542349117424
C,Mercado + renda,6,2,kmeans,KMeans,4,122,0.2555567883256485,1.414628504804512,288.8538935269488,1816.8531367816793
C,Mercado + renda,6,2,kmeans,KMeans,5,97,0.24402127688206512,1.3066442782846184,273.6579683869726,1582.3221691875283
C,Mercado + renda,6,2,kmeans,KMeans,6,67,0.2271735820900648,1.3182527784199813,255.680162115914,1432.6226593576307
C,Mercado + renda,6,2,kmeans,KMeans,7,39,0.21609792811291692,1.3838595853676081,240.00793848644466,1322.121238750381
C,Mercado + renda,6,2,kmeans,KMeans,8,39,0.19770325994994267,1.4964950783071396,220.44418134462774,1259.5411209189158
C,Mercado + renda,6,2,kmeans,KMeans,9,39,0.18992397248122558,1.5203961320188994,205.58004770985764,1203.249552554456
C,Mercado + renda,6,2,kmeans,KMeans,10,34,0.18514649364835706,1.4506119643314077,194.9024832695569,1147.862426857644
